Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
GDP per capita (current US$),NY.GDP.PCAP.CD,Afghanistan,AFG,..,..,591.162759035926,641.871479157538,637.165523187024,613.856689167623,578.466352941708,509.218661332126,519.884773089339,493.750418116312,507.103431871987,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Albania,ALB,617.230435515505,1126.68331762741,4437.14288515077,4247.62998374252,4413.06086120676,4578.6319939825,3952.80121524465,4124.05572595352,4531.02080555986,5284.38018438156,5353.2448564014,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Algeria,DZA,2408.68881482248,1765.02219817503,5462.26089723183,5591.21235322404,5498.78409497823,5494.3523360423,4187.50972747204,3945.48208133854,4111.29411013269,4153.73397805915,3973.96407191565,..
GDP per capita (current US$),NY.GDP.PCAP.CD,American Samoa,ASM,..,..,10294.3022651052,11568.7930012395,11505.3937142139,11507.2323493037,11843.3311832581,11696.9555623329,10823.4448040273,11466.6907058505,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Andorra,AND,18878.5059692988,21854.2468030614,43335.3288618283,38686.4612635075,39538.7667220426,41303.9293714464,35762.523073758,37474.6654057245,38962.8803536703,41793.0552583729,40886.3911648431,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Angola,AGO,947.704182085371,556.836318086553,4615.46802807906,5100.09580809767,5254.88233799616,5408.41049555432,4166.97968386501,3506.07288506966,4095.81294155857,3289.64666408633,2790.72661520665,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Antigua and Barbuda,ATG,7348.23391713105,10871.0057141966,12746.2050243357,13272.4413293826,12909.7441775006,13501.5809223367,14286.0931598293,15197.6174551735,15383.4151884998,16672.7442395764,17112.8211347326,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Argentina,ARG,4333.48297312146,7708.10099605414,12848.8641969705,13082.664325572,13080.2547323367,12334.7982453893,13789.060424772,12790.2424732447,14613.0418246696,11633.4980086465,9912.28180859803,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Armenia,ARM,637.854659491342,622.742139063498,3525.80474671153,3681.8574560431,3838.18580148382,3986.23162376713,3607.29669672271,3591.82927553023,3914.5012684128,4220.49027671249,4622.73349328671,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Aruba,ABW,12307.3117378314,20620.7006259175,24985.9932813737,24713.6980451285,26189.4355088129,26647.938100985,27980.8806952751,28281.35048163,29007.6930034887,..,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Australia,AUS,18211.5000581403,21679.2478424147,62517.8337471503,68012.1479005934,68150.1070413215,62510.7911705641,56755.7217124249,49971.131456129,54027.9668184568,57354.9640455891,55060.3261005013,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Austria,AUT,21680.989623313,24564.4582948404,51374.9584066934,48567.69528642,50716.7087062864,51717.4959405515,44178.0473777432,45276.8314351693,47426.5119597773,51478.2852619277,50137.6627762476,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Azerbaijan,AZE,1237.324491677,655.097432602586,7189.69122920765,7496.29464768263,7875.75695254288,7891.31314749986,5500.31038244408,3880.73873089556,4147.08971569171,4739.84171028393,4793.58701966989,..
GDP per capita (current US$),NY.GDP.PCAP.CD,"Bahamas, The",BHS,12356.4238963715,27097.6108115725,28006.3797183913,29485.6209294138,28783.5541223636,29980.0611386466,31295.0620781067,31562.6397411168,32718.6381008013,33767.5033710196,34863.7420984795,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Bahrain,BHR,8528.98333446095,13636.3962320368,22514.2379458146,23654.3513912828,24744.296958551,24989.4001204704,22634.118645445,22608.484275925,23742.9850166355,23991.05667694,23503.977126673,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Bangladesh,BGD,306.268703808998,418.068968311378,861.758444349051,883.105000541313,981.839879150399,1118.8536634927,1248.45339778371,1401.62062821515,1563.91369862485,1698.35039428122,1855.73982408046,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Barbados,BRB,7711.2067988566,11268.2540559453,16458.3532105715,16249.5593937258,16451.1635759912,16489.0722373387,16525.0732500596,16900.166552366,17391.4258663397,17745.1934649963,18148.2449264001,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Belarus,BLR,2124.84051428011,1276.2880341,6519.23019498892,6940.15925359735,7978.87261471076,8318.51268992675,5949.10630699748,5022.62664330491,5761.74712023007,6330.0752464187,6663.29529282582,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Belgium,BEL,20600.3752789827,23041.5347290428,47348.5250202016,44673.1158755901,46744.6625441516,47700.5403601178,40991.8081381432,41984.1030335609,44192.6230270333,47583.0749405066,46420.6637668061,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Belize,BLZ,2197.18502331181,3364.33293572974,4423.48979672175,4505.62130177515,4568.50295763852,4705.60268956266,4775.95564827821,4818.40390879479,4887.5772083381,4884.7341615523,4815.1637107951,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Benin,BEN,393.686214423531,511.40022696311,1130.27313181143,1145.14081099947,1251.21051783537,1291.40980818577,1076.79771601166,1087.28783152256,1136.59284704681,1240.82946441954,1219.43267185875,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Bermuda,BMU,26841.5197383946,56284.1686478094,97774.1620717428,98431.8651810241,99471.6388978631,98467.683993982,102005.62564189,106885.878489327,111820.581466347,113021.417396746,117089.286273037,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Bhutan,BTN,564.77960950252,718.187830716068,2563.2575266012,2538.94590031276,2472.71430857435,2652.21458893197,2752.66420790266,2930.56298891838,3286.57470287488,3243.48603638229,3316.17571350084,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Bolivia,BOL,709.05967248876,997.582459886835,2346.33715481293,2609.88081366788,2908.20009458765,3081.87882321413,3035.97221350817,3076.65894989886,3351.1240444427,3548.59015508448,3552.0687602631,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Bosnia and Herzegovina,BIH,..,1467.77647716048,5092.55194328895,4778.63608845506,5131.39450642932,5329.63504488766,4727.27771157479,4994.68314045091,5394.59122017677,6072.18462285304,6108.51069581338,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Botswana,BWA,2945.83203953801,3522.30867806396,7617.32515952037,7050.57347186681,7224.96528118842,7780.65338385068,6799.87017783413,7243.87025286676,7893.23253363666,8279.60173877574,7961.32518123885,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Brazil,BRA,3100.28046842987,3749.75324996168,13245.6124995448,12370.0242007149,12300.3248822758,12112.5882059697,8814.00098681261,8710.09668954121,9925.38623770041,9001.23424863499,8717.18627810819,..
GDP per capita (current US$),NY.GDP.PCAP.CD,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Brunei Darussalam,BRN,13607.5220957631,18012.5562597047,47055.8411171808,47740.5149036597,44740.085018517,41726.7839720342,31164.5620291141,27157.8234104784,28572.1467776509,31628.3287914349,31086.7511188028,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Bulgaria,BGR,2366.52982128614,1621.24296080247,7809.42506245471,7395.84980340721,7655.12970759319,7876.86646539994,7055.93567291245,7548.85500737534,8334.08172775332,9427.73043039881,9828.14851478139,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Burkina Faso,BFA,351.979322852536,254.71752910271,751.172957247699,758.000701423857,787.47017629755,792.846778432074,653.32697954543,688.249662758849,734.994429826895,813.096848960038,786.895631290168,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Burundi,BDI,208.146755438253,136.46397080034,249.577979366801,252.358979858344,256.976002796754,274.857947913846,305.549772797441,282.193130404814,292.997630684415,271.752044376648,261.247472515742,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Cabo Verde,CPV,908.0961895607,1259.32365602588,3740.38909850629,3447.5240412173,3615.97904131099,3588.6740539538,3043.01398430098,3130.96338552381,3292.64575457372,3617.32748873182,3603.78179304514,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Cambodia,KHM,..,302.577163565133,882.275492640073,950.880345993697,1013.4204006154,1093.49619050796,1162.90491997151,1269.59125737542,1385.2599796333,1512.12670972847,1643.12138876539,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Cameroon,CMR,946.646413060374,649.991845405048,1405.09439231907,1354.54561274707,1465.63884316769,1542.62026621531,1327.50301711492,1364.33011041997,1425.10781805334,1534.49370193468,1507.45020591288,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Canada,CAN,21448.3619600057,24190.2496150045,52087.446383568,52678.3901234772,52652.5936828278,50893.4467137547,43585.5119817751,42322.4847803038,45148.5527061655,46313.1713712961,46194.7252255167,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Cayman Islands,CYM,..,..,72328.4126065949,72783.3197854203,73515.8962851792,74990.4327442868,76280.4866192809,78465.3573282461,81302.122965073,85975.0247395242,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Central African Republic,CAF,513.305284957779,251.206877406698,551.750096552583,565.800696971217,380.298167643018,424.448751343631,377.423001679447,402.191290596004,450.900244979058,475.953609871945,467.907440636335,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Chad,TCD,291.553259539311,165.762986567833,984.735891490329,967.352797482929,979.812409638156,1020.28820350586,776.019532308037,693.449386475774,665.94835269506,726.149881109447,709.540310138533,..
