Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
High-technology exports (current US$),TX.VAL.TECH.CD,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..
High-technology exports (current US$),TX.VAL.TECH.CD,Albania,ALB,..,..,11890517,10059840,10843586,1960836,16607486,10199913,1119016,591717,..,..
High-technology exports (current US$),TX.VAL.TECH.CD,Algeria,DZA,..,..,3565016,2215525,3256008,4033112,2549728,4844795,9027398,..,..,..
High-technology exports (current US$),TX.VAL.TECH.CD,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
High-technology exports (current US$),TX.VAL.TECH.CD,Andorra,AND,..,..,18990187,19714197,21595662,18015814,17999514,21706225,24235417,33913480,..,..
High-technology exports (current US$),TX.VAL.TECH.CD,Angola,AGO,..,..,..,..,..,..,126472559,126442410,112647525,98225931,..,..
High-technology exports (current US$),TX.VAL.TECH.CD,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,162,3183,11438,..,..
High-technology exports (current US$),TX.VAL.TECH.CD,Argentina,ARG,..,..,1936261822,1664145543,1797685979,1515780203,1484221227,1339371534,1494147748,647172436,561915854,..
High-technology exports (current US$),TX.VAL.TECH.CD,Armenia,ARM,..,..,7448895,7581095,9332592,9307631,11860132,21845876,28310791,36293330,45646416,..
High-technology exports (current US$),TX.VAL.TECH.CD,Aruba,ABW,..,..,1269221,3656986,1702027,2236381,1265878,1255860,2011640,2562959,1655305,..
High-technology exports (current US$),TX.VAL.TECH.CD,Australia,AUS,..,..,5651820508,5488081110,5367019937,5487641576,5123915237,5406743775,4837243928,5274079796,6411061180,..
High-technology exports (current US$),TX.VAL.TECH.CD,Austria,AUT,..,..,17850022700,18477385978,20794516765,21648681499,18086949416,17339815988,17027611644,16687499480,15989939763,..
High-technology exports (current US$),TX.VAL.TECH.CD,Azerbaijan,AZE,..,..,10676252,45374670,73400927,37909594,15948624,11900634,14069403,21177989,28035272,..
High-technology exports (current US$),TX.VAL.TECH.CD,"Bahamas, The",BHS,..,..,..,..,..,..,..,5691434,23404243,6222843,..,..
High-technology exports (current US$),TX.VAL.TECH.CD,Bahrain,BHR,..,..,1619723,7237732,18922398,47086504,22835704,21521244,14797113,11790574,..,..
High-technology exports (current US$),TX.VAL.TECH.CD,Bangladesh,BGD,..,..,43978821,105405034,68647409,..,93608711,..,..,..,..,..
High-technology exports (current US$),TX.VAL.TECH.CD,Barbados,BRB,..,..,..,..,..,..,..,..,..,..,29762994,..
High-technology exports (current US$),TX.VAL.TECH.CD,Belarus,BLR,..,..,514192800,635603100,795290700,693015900,577142200,625774800,687613900,716991900,756914800,..
High-technology exports (current US$),TX.VAL.TECH.CD,Belgium,BEL,..,..,36555602114,38133698993,43628994009,45574603464,40736618905,40255156756,34397964674,36817017951,40830355646,..
High-technology exports (current US$),TX.VAL.TECH.CD,Belize,BLZ,..,..,265036,..,..,..,..,..,10,6270,..,..
High-technology exports (current US$),TX.VAL.TECH.CD,Benin,BEN,..,..,..,..,569796,3987990,1561772,1317651,4003045,1408703,1203811,..
High-technology exports (current US$),TX.VAL.TECH.CD,Bermuda,BMU,..,..,..,830077,2667623,2564052,1028795,1280911,..,2939781,1569638,..
High-technology exports (current US$),TX.VAL.TECH.CD,Bhutan,BTN,..,..,272,58575,..,..,..,..,..,..,..,..
High-technology exports (current US$),TX.VAL.TECH.CD,Bolivia,BOL,..,..,48204673,52913603,44104414,33146949,24935819,15493717,19397572,19560046,..,..
High-technology exports (current US$),TX.VAL.TECH.CD,Bosnia and Herzegovina,BIH,..,..,106590971,80768390,82136598,93752141,99438658,96218192,236675619,261379316,253657306,..
High-technology exports (current US$),TX.VAL.TECH.CD,Botswana,BWA,..,..,..,..,26072351,18361264,37475913,28756911,52657764,38519419,19399628,..
