Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"School enrollment, secondary (% net)",SE.SEC.NENR,Afghanistan,AFG,..,..,..,..,46.1909,46.0584,45.43273,46.6585,48.44288,50.1407,..,..
"School enrollment, secondary (% net)",SE.SEC.NENR,Albania,ALB,..,66.69051,..,..,84.39599,86.39145,87.38842,86.48091,86.6726,86.60827,..,..
"School enrollment, secondary (% net)",SE.SEC.NENR,Algeria,DZA,..,..,..,..,..,..,..,..,..,..,..,..
"School enrollment, secondary (% net)",SE.SEC.NENR,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
"School enrollment, secondary (% net)",SE.SEC.NENR,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..
"School enrollment, secondary (% net)",SE.SEC.NENR,Angola,AGO,..,..,..,..,..,..,..,..,..,..,..,..
"School enrollment, secondary (% net)",SE.SEC.NENR,Antigua and Barbuda,ATG,..,70.69304,..,..,..,83.36424,86.00054,..,87.74032,88.78981,..,..
"School enrollment, secondary (% net)",SE.SEC.NENR,Argentina,ARG,..,78.48781,83.52317,85.89363,87.09754,87.6325,88.44048,89.88468,90.79605,..,..,..
"School enrollment, secondary (% net)",SE.SEC.NENR,Armenia,ARM,..,..,87.74122,..,..,..,..,..,..,..,..,..
"School enrollment, secondary (% net)",SE.SEC.NENR,Aruba,ABW,..,76.83175,76.94634,..,..,..,..,..,..,..,..,..
"School enrollment, secondary (% net)",SE.SEC.NENR,Australia,AUS,..,..,..,..,..,..,93.23812,92.76952,92.28431,..,..,..
"School enrollment, secondary (% net)",SE.SEC.NENR,Austria,AUT,..,88.42819,86.61554,86.14129,86.22208,86.55112,86.71155,87.37319,87.00131,..,..,..
"School enrollment, secondary (% net)",SE.SEC.NENR,Azerbaijan,AZE,..,..,..,..,..,..,..,..,..,88.53256,..,..
"School enrollment, secondary (% net)",SE.SEC.NENR,"Bahamas, The",BHS,..,..,74.73581,75.71744,68.50649,72.62728,58.91371,66.65546,65.13657,62.4958,..,..
